Year,Global Temp,CO2,Methane ,Ice Sheet,SH,Nhse
2000,0.03,0.47,0.06,-0.31,2.281,0.269
2001,0.38,0.48,-0.12,-0.32,2.186,0.253
2002,0.17,0.50,0.08,-0.32,3.065,0.212
2003,-0.02,0.59,0.26,1.50,3.513,0.157
2004,-0.15,0.41,-0.02,0.34,4.089,0.131
2005,0.28,0.69,-0.16,1.55,4.264,0.12
2006,-0.06,0.46,0.05,1.60,5.398,0.12
2007,0.03,0.58,0.36,0.19,5.14,0.119
2008,-0.18,0.41,0.32,0.20,5.39,0.115
2009,0.22,0.46,0.37,0.21,5.768,0.117
2010,0.09,0.61,0.30,0.01,6.834,0.114
2011,-0.15,0.53,0.23,-0.01,7.424,0.114
2012,0.07,0.61,0.27,0.04,7.869,0.108
2013,0.05,0.64,0.30,0.04,8.913,0.103
2014,0.10,0.51,0.51,0.05,9.758,0.101
2015,0.20,0.73,0.64,0.02,10.745,0.088
2016,0.13,0.65,0.49,-0.05,11.149,0.083
2017,-0.10,0.59,0.35,0.00,11.714,0.081
2018,-0.08,0.56,0.41,0.07,12.225,0.079
2019,0.15,0.67,0.50,0.05,12.548,0.088
2020,0.04,0.54,0.66,0.02,12.411,0.085
2021,-0.17,0.59,0.87,-0.04,12.999,0.085
2022,0.05,0.54,0.87,0.00,13.591,0.087
2023,TBD,TBD,TBD,TBD,TBD,TBD
2024,TBD,TBD,TBD,TBD,TBD,TBD
